,date,open,high,low,close,volume
7660,2022-03-11 19:30:00+00:00,285.215,285.305,284.17,284.22,8412.0
7661,2022-03-11 19:45:00+00:00,284.245,284.33,283.2,283.76,18089.0
7662,2022-03-11 20:00:00+00:00,283.83,283.86,282.835,282.945,18411.0
7663,2022-03-11 20:15:00+00:00,282.955,283.37,282.35,282.42,57197.0
7664,2022-03-11 20:30:00+00:00,282.35,282.415,281.47,281.86,35706.0
7665,2022-03-11 20:45:00+00:00,281.86,281.955,279.48,279.9,133426.0
7666,2022-03-11 21:00:00+00:00,279.9,279.9,279.9,279.9,0.0
7667,2022-03-14 13:30:00+00:00,280.49,284.72,280.045,284.3,140527.0
7668,2022-03-14 13:45:00+00:00,284.2,284.2,282.51,283.035,86331.0
7669,2022-03-14 14:00:00+00:00,283.025,285.365,282.09,285.145,46898.0
7670,2022-03-14 14:15:00+00:00,285.1,285.22,284.27,284.3,83974.0
7671,2022-03-14 14:30:00+00:00,284.37,284.635,283.275,283.92,45771.0
7672,2022-03-14 14:45:00+00:00,283.8,284.97,283.73,284.42,49820.0
7673,2022-03-14 15:00:00+00:00,284.45,284.535,282.79,282.91,66827.0
7674,2022-03-14 15:15:00+00:00,282.895,283.395,281.79,281.88,54149.0
7675,2022-03-14 15:30:00+00:00,281.95,282.45,281.68,282.265,46518.0
7676,2022-03-14 15:45:00+00:00,282.26,282.5,281.765,282.095,37719.0
7677,2022-03-14 16:00:00+00:00,282.06,282.07,280.06,280.49,45997.0
7678,2022-03-14 16:15:00+00:00,280.455,280.715,280.165,280.245,19939.0
7679,2022-03-14 16:30:00+00:00,280.24,280.51,279.665,280.015,32221.0
7680,2022-03-14 16:45:00+00:00,280.02,280.135,278.71,279.07,21867.0
7681,2022-03-14 17:00:00+00:00,279.055,279.235,278.49,278.905,31477.0
7682,2022-03-14 17:15:00+00:00,278.855,278.99,278.26,278.445,16566.0
7683,2022-03-14 17:30:00+00:00,278.46,278.74,278.07,278.45,39160.0
7684,2022-03-14 17:45:00+00:00,278.415,279.66,278.29,278.86,43746.0
7685,2022-03-14 18:00:00+00:00,278.84,279.165,278.36,278.52,26968.0
7686,2022-03-14 18:15:00+00:00,278.51,278.53,277.6,277.765,33605.0
7687,2022-03-14 18:30:00+00:00,277.76,278.61,277.525,278.15,23783.0
7688,2022-03-14 18:45:00+00:00,278.16,278.72,277.73,278.48,17184.0
7689,2022-03-14 19:00:00+00:00,278.435,279.235,277.95,278.255,25104.0
7690,2022-03-14 19:15:00+00:00,278.25,278.645,277.9,277.92,44574.0
7691,2022-03-14 19:30:00+00:00,277.92,277.96,276.59,277.61,39273.0
7692,2022-03-14 19:45:00+00:00,277.825,278.085,275.82,276.295,91752.0
7693,2022-03-14 20:00:00+00:00,276.295,276.295,276.295,276.295,0.0
7694,2022-03-15 13:30:00+00:00,280.56,281.86,279.245,279.69,69419.0
7695,2022-03-15 13:45:00+00:00,279.73,280.595,278.73,280.29,32576.0
7696,2022-03-15 14:00:00+00:00,280.3,281.095,279.375,279.9,17346.0
7697,2022-03-15 14:15:00+00:00,279.95,281.015,279.61,280.7,18331.0
7698,2022-03-15 14:30:00+00:00,280.68,281.59,280.58,281.01,22451.0
7699,2022-03-15 14:45:00+00:00,281.0,281.98,280.95,281.01,29889.0
7700,2022-03-15 15:00:00+00:00,281.08,282.06,280.695,282.04,38969.0
7701,2022-03-15 15:15:00+00:00,281.955,283.38,281.415,283.34,17719.0
7702,2022-03-15 15:30:00+00:00,283.34,284.845,283.315,283.89,60108.0
7703,2022-03-15 15:45:00+00:00,283.91,284.235,282.3,282.925,16243.0
7704,2022-03-15 16:00:00+00:00,282.66,283.63,281.695,283.29,11796.0
7705,2022-03-15 16:15:00+00:00,283.29,285.21,283.135,285.04,25709.0
7706,2022-03-15 16:30:00+00:00,285.125,285.2,284.58,284.765,27878.0
7707,2022-03-15 16:45:00+00:00,284.77,285.095,283.81,284.495,37201.0
7708,2022-03-15 17:00:00+00:00,284.53,284.85,283.515,283.55,21462.0
7709,2022-03-15 17:15:00+00:00,283.575,284.035,283.23,283.25,23211.0
7710,2022-03-15 17:30:00+00:00,283.25,284.21,282.98,284.04,56452.0
7711,2022-03-15 17:45:00+00:00,284.0,284.63,283.635,284.61,35374.0
7712,2022-03-15 18:00:00+00:00,284.41,284.41,282.86,283.72,16386.0
7713,2022-03-15 18:15:00+00:00,283.72,283.86,282.54,282.965,21867.0
7714,2022-03-15 18:30:00+00:00,282.92,283.89,282.575,283.78,20387.0
7715,2022-03-15 18:45:00+00:00,283.795,284.99,283.715,284.93,28782.0
7716,2022-03-15 19:00:00+00:00,284.88,285.32,284.65,285.135,21586.0
7717,2022-03-15 19:15:00+00:00,285.135,286.145,285.12,286.06,40566.0
7718,2022-03-15 19:30:00+00:00,286.065,287.005,286.06,286.41,57009.0
7719,2022-03-15 19:45:00+00:00,286.475,287.82,286.09,287.17,81626.0
7720,2022-03-15 20:00:00+00:00,287.17,287.17,287.17,287.17,0.0
7721,2022-03-16 13:30:00+00:00,289.07,292.17,289.06,290.72,47929.0
7722,2022-03-16 13:45:00+00:00,290.86,291.84,290.56,290.61,27926.0
7723,2022-03-16 14:00:00+00:00,290.76,291.285,289.775,290.79,9006.0
7724,2022-03-16 14:15:00+00:00,290.795,292.725,290.775,291.81,29174.0
7725,2022-03-16 14:30:00+00:00,291.98,292.805,291.145,291.38,21667.0
7726,2022-03-16 14:45:00+00:00,291.365,292.245,290.925,291.81,29968.0
7727,2022-03-16 15:00:00+00:00,291.79,291.845,290.95,291.245,36770.0
7728,2022-03-16 15:15:00+00:00,291.245,291.635,291.0,291.155,17250.0
7729,2022-03-16 15:30:00+00:00,291.235,291.66,291.14,291.42,15509.0
7730,2022-03-16 15:45:00+00:00,291.445,291.65,290.79,291.015,16918.0
7731,2022-03-16 16:00:00+00:00,291.035,291.59,290.25,290.27,16129.0
7732,2022-03-16 16:15:00+00:00,290.32,290.78,289.99,290.415,26122.0
7733,2022-03-16 16:30:00+00:00,290.415,290.45,289.43,290.25,19816.0
7734,2022-03-16 16:45:00+00:00,290.28,290.28,289.02,289.42,16384.0
7735,2022-03-16 17:00:00+00:00,289.445,289.54,288.12,288.5,17502.0
7736,2022-03-16 17:15:00+00:00,288.51,288.55,287.695,288.23,16022.0
7737,2022-03-16 17:30:00+00:00,288.23,289.27,288.23,288.705,11930.0
7738,2022-03-16 17:45:00+00:00,288.7,289.27,288.53,289.135,12607.0
7739,2022-03-16 18:00:00+00:00,288.99,288.99,284.26,284.485,42637.0
7740,2022-03-16 18:15:00+00:00,284.43,286.325,284.4,284.73,39334.0
7741,2022-03-16 18:30:00+00:00,284.74,287.715,283.21,287.455,27112.0
7742,2022-03-16 18:45:00+00:00,287.37,289.73,286.86,288.67,21621.0
7743,2022-03-16 19:00:00+00:00,288.81,290.205,288.18,289.735,26846.0
7744,2022-03-16 19:15:00+00:00,289.82,291.585,289.35,291.405,33894.0
7745,2022-03-16 19:30:00+00:00,291.44,291.515,290.69,291.2,44656.0
7746,2022-03-16 19:45:00+00:00,291.185,294.44,291.025,294.42,162903.0
7747,2022-03-16 20:00:00+00:00,294.42,294.42,294.42,294.42,0.0
7748,2022-03-17 13:30:00+00:00,293.495,293.82,291.305,292.0,31956.0
7749,2022-03-17 13:45:00+00:00,291.895,293.555,291.78,293.505,26451.0
7750,2022-03-17 14:00:00+00:00,293.21,294.43,292.825,293.465,18248.0
7751,2022-03-17 14:15:00+00:00,293.5,293.5,292.39,292.63,17111.0
7752,2022-03-17 14:30:00+00:00,292.67,293.11,291.545,291.645,25516.0
7753,2022-03-17 14:45:00+00:00,291.67,291.67,290.035,291.075,20093.0
7754,2022-03-17 15:00:00+00:00,291.06,291.51,290.135,290.435,15578.0
7755,2022-03-17 15:15:00+00:00,290.535,291.33,290.41,290.975,16659.0
7756,2022-03-17 15:30:00+00:00,290.95,291.405,290.66,290.885,36227.0
7757,2022-03-17 15:45:00+00:00,290.895,290.9,289.39,290.72,17711.0
7758,2022-03-17 16:00:00+00:00,290.755,291.36,290.365,290.985,14247.0
7759,2022-03-17 16:15:00+00:00,291.13,291.77,290.595,291.545,23477.0
7760,2022-03-17 16:30:00+00:00,291.53,291.8,291.15,291.775,13470.0
7761,2022-03-17 16:45:00+00:00,291.715,292.22,291.495,291.96,11380.0
7762,2022-03-17 17:00:00+00:00,291.955,292.52,291.415,291.52,19353.0
7763,2022-03-17 17:15:00+00:00,291.57,293.28,291.17,293.235,17141.0
7764,2022-03-17 17:30:00+00:00,293.27,293.88,293.21,293.665,17418.0
7765,2022-03-17 17:45:00+00:00,293.7,294.11,293.41,293.57,11094.0
7766,2022-03-17 18:00:00+00:00,293.58,293.81,292.96,293.01,20224.0
7767,2022-03-17 18:15:00+00:00,292.985,293.02,292.2,292.2,21934.0
7768,2022-03-17 18:30:00+00:00,292.25,293.31,292.225,293.26,13721.0
7769,2022-03-17 18:45:00+00:00,293.265,293.405,292.92,293.34,13369.0
7770,2022-03-17 19:00:00+00:00,293.325,293.685,292.36,292.82,15753.0
7771,2022-03-17 19:15:00+00:00,292.84,293.63,292.58,293.5,20417.0
